technology_node,component,profile,temperature_c,voltage_v,leakage_w_default_design
22nm,light_redmule,constant,25,0.6,0.01764232
22nm,light_redmule,constant,25,1.0,0.042341567999999996
22nm,light_redmule,constant,125,0.6,0.01764232
22nm,light_redmule,constant,125,1.0,0.042341567999999996
22nm,tcdm,constant,25,0.6,0.006003662109375
22nm,tcdm,constant,25,1.0,0.01200732421875
22nm,tcdm,constant,125,0.6,0.006003662109375
22nm,tcdm,constant,125,1.0,0.01200732421875
22nm,light_redmule,temperature_aware,25,0.6,0.01764232
22nm,light_redmule,temperature_aware,25,1.0,0.042341567999999996
22nm,light_redmule,temperature_aware,40,0.6,0.024950008215726103
22nm,light_redmule,temperature_aware,40,1.0,0.05988001971774264
22nm,light_redmule,temperature_aware,55,0.6,0.03528464
22nm,light_redmule,temperature_aware,55,1.0,0.08468313599999999
22nm,light_redmule,temperature_aware,70,0.6,0.049900016431452206
22nm,light_redmule,temperature_aware,70,1.0,0.11976003943548529
22nm,light_redmule,temperature_aware,85,0.6,0.07056928
22nm,light_redmule,temperature_aware,85,1.0,0.16936627199999998
22nm,light_redmule,temperature_aware,100,0.6,0.09980003286290441
22nm,light_redmule,temperature_aware,100,1.0,0.23952007887097057
22nm,light_redmule,temperature_aware,115,0.6,0.14113856
22nm,light_redmule,temperature_aware,115,1.0,0.33873254399999997
22nm,light_redmule,temperature_aware,125,0.6,0.17782344269585054
22nm,light_redmule,temperature_aware,125,1.0,0.4267762624700413
22nm,tcdm,temperature_aware,25,0.6,0.006003662109375
22nm,tcdm,temperature_aware,25,1.0,0.01200732421875
22nm,tcdm,temperature_aware,40,0.6,0.00808032998950739
22nm,tcdm,temperature_aware,40,1.0,0.01616065997901478
22nm,tcdm,temperature_aware,55,0.6,0.010875317689411
22nm,tcdm,temperature_aware,55,1.0,0.021750635378822
22nm,tcdm,temperature_aware,70,0.6,0.014637092173116338
22nm,tcdm,temperature_aware,70,1.0,0.029274184346232676
22nm,tcdm,temperature_aware,85,0.6,0.01970006517537483
22nm,tcdm,temperature_aware,85,1.0,0.03940013035074966
22nm,tcdm,temperature_aware,100,0.6,0.02651432151440695
22nm,tcdm,temperature_aware,100,1.0,0.0530286430288139
22nm,tcdm,temperature_aware,115,0.6,0.03568563043375655
22nm,tcdm,temperature_aware,115,1.0,0.0713712608675131
22nm,tcdm,temperature_aware,125,0.6,0.043501270757644005
22nm,tcdm,temperature_aware,125,1.0,0.08700254151528801
12nm,light_redmule,constant,25,0.6,0.031756176
12nm,light_redmule,constant,25,0.9,0.063512352
12nm,light_redmule,constant,125,0.6,0.031756176
12nm,light_redmule,constant,125,0.9,0.063512352
12nm,tcdm,constant,25,0.6,0.008004882812500001
12nm,tcdm,constant,25,0.9,0.0150091552734375
12nm,tcdm,constant,125,0.6,0.008004882812500001
12nm,tcdm,constant,125,0.9,0.0150091552734375
12nm,light_redmule,temperature_aware,25,0.6,0.031756176
12nm,light_redmule,temperature_aware,25,0.9,0.063512352
12nm,light_redmule,temperature_aware,40,0.6,0.04667314720997455
12nm,light_redmule,temperature_aware,40,0.9,0.0933462944199491
12nm,light_redmule,temperature_aware,55,0.6,0.06859713431755624
12nm,light_redmule,temperature_aware,55,0.9,0.13719426863511247
12nm,light_redmule,temperature_aware,70,0.6,0.10081957437777457
12nm,light_redmule,temperature_aware,70,0.9,0.20163914875554914
12nm,light_redmule,temperature_aware,85,0.6,0.14817800595956052
12nm,light_redmule,temperature_aware,85,0.9,0.29635601191912103
12nm,light_redmule,temperature_aware,100,0.6,0.21778232635538528
12nm,light_redmule,temperature_aware,100,0.9,0.43556465271077055
12nm,light_redmule,temperature_aware,115,0.6,0.320082196852531
12nm,light_redmule,temperature_aware,115,0.9,0.640164393705062
12nm,light_redmule,temperature_aware,125,0.6,0.4137653418314062
12nm,light_redmule,temperature_aware,125,0.9,0.8275306836628123
12nm,tcdm,temperature_aware,25,0.6,0.008004882812500001
12nm,tcdm,temperature_aware,25,0.9,0.0150091552734375
12nm,tcdm,temperature_aware,40,0.6,0.011078036428181184
12nm,tcdm,temperature_aware,40,0.9,0.02077131830283972
12nm,tcdm,temperature_aware,55,0.6,0.015331004085715253
12nm,tcdm,temperature_aware,55,0.9,0.028745632660716097
12nm,tcdm,temperature_aware,70,0.6,0.02121672805464922
12nm,tcdm,temperature_aware,70,0.9,0.039781365102467284
12nm,tcdm,temperature_aware,85,0.6,0.029362039617768322
12nm,tcdm,temperature_aware,85,0.9,0.0550538242833156
12nm,tcdm,temperature_aware,100,0.6,0.04063441678164312
12nm,tcdm,temperature_aware,100,0.9,0.07618953146558084
12nm,tcdm,temperature_aware,115,0.6,0.05623437093195288
12nm,tcdm,temperature_aware,115,0.9,0.10543944549741163
12nm,tcdm,temperature_aware,125,0.6,0.06983509284888374
12nm,tcdm,temperature_aware,125,0.9,0.13094079909165698
7nm,light_redmule,constant,25,0.6,0.052926959999999995
7nm,light_redmule,constant,25,0.8,0.091740064
7nm,light_redmule,constant,125,0.6,0.052926959999999995
7nm,light_redmule,constant,125,0.8,0.091740064
7nm,tcdm,constant,25,0.6,0.010006103515625
7nm,tcdm,constant,25,0.8,0.017010375976562502
7nm,tcdm,constant,125,0.6,0.010006103515625
7nm,tcdm,constant,125,0.8,0.017010375976562502
7nm,light_redmule,temperature_aware,25,0.6,0.052926959999999995
7nm,light_redmule,temperature_aware,25,0.8,0.091740064
7nm,light_redmule,temperature_aware,40,0.6,0.08162453066793306
7nm,light_redmule,temperature_aware,40,0.8,0.1414825198244173
7nm,light_redmule,temperature_aware,55,0.6,0.12588223481492883
7nm,light_redmule,temperature_aware,55,0.8,0.21819587367920998
7nm,light_redmule,temperature_aware,70,0.6,0.1941369452581276
7nm,light_redmule,temperature_aware,70,0.8,0.3365040384474212
7nm,light_redmule,temperature_aware,85,0.6,0.2994000985887132
7nm,light_redmule,temperature_aware,85,0.8,0.5189601708871029
7nm,light_redmule,temperature_aware,100,0.6,0.4617380731717183
7nm,light_redmule,temperature_aware,100,0.8,0.800345993497645
7nm,light_redmule,temperature_aware,115,0.6,0.7120974549484277
7nm,light_redmule,temperature_aware,115,0.8,1.2343022552439415
7nm,light_redmule,temperature_aware,125,0.6,0.9505360629182121
7nm,light_redmule,temperature_aware,125,0.8,1.6475958423915678
7nm,tcdm,temperature_aware,25,0.6,0.010006103515625
7nm,tcdm,temperature_aware,25,0.8,0.017010375976562502
7nm,tcdm,temperature_aware,40,0.6,0.014320895036177934
7nm,tcdm,temperature_aware,40,0.8,0.024345521561502492
7nm,tcdm,temperature_aware,55,0.6,0.02049629351894783
7nm,tcdm,temperature_aware,55,0.8,0.03484369898221132
7nm,tcdm,temperature_aware,70,0.6,0.02933462237895025
7nm,tcdm,temperature_aware,70,0.8,0.04986885804421543
7nm,tcdm,temperature_aware,85,0.6,0.041984179691811105
7nm,tcdm,temperature_aware,85,0.8,0.07137310547607888
7nm,tcdm,temperature_aware,100,0.6,0.060088427988734906
7nm,tcdm,temperature_aware,100,0.8,0.10215032758084935
7nm,tcdm,temperature_aware,115,0.6,0.08599951707194178
7nm,tcdm,temperature_aware,115,0.8,0.14619917902230106
7nm,tcdm,temperature_aware,125,0.6,0.10921931772988952
7nm,tcdm,temperature_aware,125,0.8,0.1856728401408122
5nm,light_redmule,constant,25,0.6,0.077626208
5nm,light_redmule,constant,25,0.7,0.119967776
5nm,light_redmule,constant,125,0.6,0.077626208
5nm,light_redmule,constant,125,0.7,0.119967776
5nm,tcdm,constant,25,0.6,0.01200732421875
5nm,tcdm,constant,25,0.7,0.02001220703125
5nm,tcdm,constant,125,0.6,0.01200732421875
5nm,tcdm,constant,125,0.7,0.02001220703125
5nm,light_redmule,temperature_aware,25,0.6,0.077626208
5nm,light_redmule,temperature_aware,25,0.7,0.119967776
5nm,light_redmule,temperature_aware,40,0.6,0.12452486969110227
5nm,light_redmule,temperature_aware,40,0.7,0.19244752588624894
5nm,light_redmule,temperature_aware,55,0.6,0.19975783399835786
5nm,light_redmule,temperature_aware,55,0.7,0.3087166525429167
5nm,light_redmule,temperature_aware,70,0.6,0.3204435575214798
5nm,light_redmule,temperature_aware,70,0.7,0.495230952533196
5nm,light_redmule,temperature_aware,85,0.6,0.5140427862161642
5nm,light_redmule,temperature_aware,85,0.7,0.7944297605158901
5nm,light_redmule,temperature_aware,100,0.6,0.8246069545123086
5nm,light_redmule,temperature_aware,100,0.7,1.2743925660644768
5nm,light_redmule,temperature_aware,115,0.6,1.3228016181986104
5nm,light_redmule,temperature_aware,115,0.7,2.0443297735796704
